"time_period","date_join","NAICS","slope_t","slope_period","Dt"
"1855-1875",1876,"Administrative and Legal Services",14.5,12.962,0.12
"1855-1875",1876,"Arts, Entertainment, and Recreation",25.5,30.218,-0.16
"1855-1875",1876,"Building and Car Rental",41.5,18.103,1.29
"1855-1875",1876,"Clothing and clothing accessories manufacturers/retailers",137.7,101.577,0.36
"1855-1875",1876,"Construction and Public Works",32.9,13.782,1.39
"1855-1875",1876,"Cosmetics, Beauty Supplies, and Perfume Retailers",13.9,17.744,-0.22
"1855-1875",1876,"Educational Services",18.25,14.974,0.22
"1855-1875",1876,"Engineering Services",53.5,51.679,0.04
"1855-1875",1876,"Finance and Insurance",12.7,5.231,1.43
"1855-1875",1876,"Food stores",345.3,210.423,0.64
"1855-1875",1876,"Full-Service Restaurants",77.75,22.795,2.41
"1855-1875",1876,"Health Practitioners",52.3,50.167,0.04
"1855-1875",1876,"Home Furniture and Supplies Manufacturers/Retailers",65.65,79.397,-0.17
"1855-1875",1876,"Manufacturing",203.7,102.987,0.98
"1855-1875",1876,"No Activity, Living of Income",-0.9,-23.09,0.96
"1855-1875",1876,"Other retailers",59.55,33.987,0.75
"1855-1875",1876,"Public Administration",25.85,-4.269,7.06
"1855-1875",1876,"Publishing Industries",26.3,21.064,0.25
"1855-1875",1876,"Related to Agricultural Activities",14.7,5.013,1.93
"1855-1875",1876,"Trade Agents and Brokers",66.2,40.872,0.62
"1855-1875",1876,"Wholesalers Trade",54.2,24.551,1.21
